;Holding Period Returns;;;;;;;;;;
DATE;MSFT;XOM;GE;JPM;INTC;C;VWRETD;SPRTRN;;;
02.01.90;0,020115;0;0,034884;0,004184;0,043478;0,030702;0,014433;0,017799;;;
03.01.90;0,005634;-0,01;-0,001873;0,033333;-0,027778;0,012766;0,000022;-0,002586;;;
04.01.90;0,029412;-0,010101;-0,005629;0,004032;0,021429;-0,012605;-0,006487;-0,008613;;;
05.01.90;-0,02449;-0,005102;-0,009434;0,004016;-0,006993;0,008511;-0,007631;-0,009756;;;
08.01.90;0,015342;0,015385;0,005714;0;0,014085;0,008439;0,003075;0,004514;;;
09.01.90;-0,002747;-0,020202;-0,020833;-0,032;0,027778;-0,012552;-0,009269;-0,011787;;;
10.01.90;-0,027548;0,005155;0,001934;-0,004132;-0,027027;-0,008475;-0,006844;-0,006607;;;
11.01.90;-0,01983;0,005128;0;-0,012448;0;0,008547;0,002619;0,003513;;;
12.01.90;-0,004335;-0,02551;-0,025097;-0,008403;-0,020833;-0,050847;-0,022551;-0,024675;;;
15.01.90;0;0,013089;-0,007921;0;0,007092;-0,004464;-0,008903;-0,008619;;;
16.01.90;0,030479;-0,005168;0,00998;-0,004237;0,056338;-0,004484;0,008723;0,011128;;;
17.01.90;-0,014085;-0,015584;-0,003953;-0,004255;0,003333;0,027027;-0,006947;-0,009831;;;
18.01.90;0,085714;0,013193;0,009921;-0,008547;-0,009967;0,013158;0,000333;0,002341;;;
19.01.90;-0,009211;0,013021;0,019646;-0,00431;0,016779;0;0,00315;0,002839;;;
22.01.90;-0,035857;-0,033419;-0,030829;-0,030303;-0,029703;-0,04329;-0,022215;-0,025859;;;
23.01.90;-0,011019;0,00266;-0,001988;-0,026786;0;-0,031674;-0,000081;0,003723;;;
24.01.90;0,011142;-0,002653;0,007968;0,004587;0,034014;0,009346;-0,004775;-0,004071;;;
25.01.90;0;-0,021277;-0,019763;-0,009132;0,006579;-0,037037;-0,009854;-0,012657;;;
26.01.90;0;0,016304;0,008065;-0,023041;0,013072;0,009615;-0,003405;-0,000859;;;
29.01.90;0,008264;0,005348;-0,012;-0,023585;-0,012903;-0,004762;-0,002978;-0,001842;;;
30.01.90;-0,002732;0;0;-0,024155;-0,013072;-0,035215;-0,008592;-0,006827;;;
31.01.90;0,013699;0;0,008097;0,019802;0,046358;0,039801;0,016311;0,018887;;;
01.02.90;0,013514;0;-0,008032;0,009709;-0,012658;0,004785;0,001098;-0,000881;;;
02.02.90;0;0,018617;0;0,004808;0;0,028571;0,007203;0,006478;;;
05.02.90;0,005333;0,002611;0;0;0,025641;-0,00463;0,004264;0,00281;;;
06.02.90;-0,002653;-0,003125;0,004049;-0,009569;0;-0,032558;-0,004796;-0,006599;;;
07.02.90;-0,007979;0,015873;0,010081;0,004831;0,00625;0,038462;0,010518;0,012407;;;
08.02.90;0,010724;0,002604;0,005988;0;0,006211;-0,009259;-0,000555;-0,002367;;;
09.02.90;0,002653;0,002597;0,003968;-0,004808;-0,006173;0,004673;0,002516;0,001982;;;
12.02.90;0,002646;-0,023316;-0,01581;0,004831;-0,024845;-0,023256;-0,008743;-0,010611;;;
13.02.90;0;0,002653;-0,002008;-0,009615;0,012739;-0,014286;0,001495;0,002848;;;
14.02.90;0,002639;-0,005291;0,002012;0,024272;0,006289;0;0,00207;0,002991;;;
15.02.90;0,021053;0,031915;0,006024;0,023697;0,00625;0,024155;0,007678;0,008674;;;
16.02.90;0,010309;-0,010309;-0,00998;0,00463;-0,006211;0,009434;-0,004366;-0,00648;;;
20.02.90;0,022959;-0,013021;-0,018145;-0,02765;-0,03125;-0,028037;-0,012805;-0,014216;;;
21.02.90;-0,041147;0,005277;-0,00616;-0,004739;0,003226;0;-0,001964;-0,000976;;;
22.02.90;0,002601;-0,010499;0,004132;-0,014286;-0,003215;-0,009615;-0,003193;-0,006012;;;
23.02.90;0,011673;0;-0,004115;-0,014493;-0,006452;0;-0,00544;-0,004759;;;
26.02.90;0,017949;0,023873;0,012397;0,019608;0,025974;0,038835;0,009421;0,013944;;;
27.02.90;-0,012594;0,002591;0,012245;-0,019231;0;-0,004673;0,005183;0,004838;;;
28.02.90;0,007653;-0,028424;0,003548;0,004902;0,018987;0,00939;0,0056;0,004936;;;
01.03.90;0,012658;-0,010638;-0,002024;-0,004878;0,009317;0;0,00296;0,002561;;;
02.03.90;0,0375;0,005376;0,01217;0,019608;0,003077;0;0,008011;0,008415;;;
05.03.90;0,014458;-0,010695;-0,01002;0,014423;-0,021472;-0,004651;-0,003228;-0,005364;;;
06.03.90;-0,007126;0,018919;0,010121;0,009479;0,018809;0;0,010611;0,012555;;;
07.03.90;-0,016746;-0,013263;0,004008;0,004695;-0,015385;-0,009346;-0,001645;-0,0029;;;
08.03.90;0,034063;0,005376;0,005988;0,028037;0,003125;0,028302;0,008561;0,009853;;;
09.03.90;0,002353;-0,008021;-0,005952;-0,020727;0,009346;0,004587;-0,004732;-0,006877;;;
12.03.90;0,016432;0,002695;-0,003992;0,02381;-0,009259;-0,004566;0,001731;0,00219;;;
13.03.90;-0,018476;-0,018817;-0,006012;0;-0,009346;-0,004587;-0,006391;-0,007884;;;
14.03.90;0,009412;0,019178;0,016129;-0,009302;-0,012579;0,036866;0,00262;0,002589;;;
15.03.90;0,034965;0,008065;0,003968;-0,018779;0,022293;0,008889;0,002671;0,003562;;;
16.03.90;0,027027;0,013333;0,011858;-0,019139;0,05296;0,013216;0,008938;0,011359;;;
19.03.90;0,02193;0;0,013672;0,009756;0,029586;-0,008696;0,00392;0,004738;;;
20.03.90;-0,030043;-0,015789;-0,007707;-0,028986;-0,011494;-0,026316;-0,005081;-0,005705;;;
21.03.90;0,002212;-0,010695;-0,003883;-0,0199;-0,014535;0;-0,004066;-0,005358;;;
22.03.90;-0,01766;-0,005405;-0,011696;-0,020305;-0,00885;-0,027027;-0,011574;-0,011921;;;
23.03.90;-0,008989;0,002717;0,005917;0,041451;0,011905;0,00463;0,00446;0,004558;;;
26.03.90;0,011338;-0,00813;0,003922;-0,029851;0,002941;-0,004608;0,00173;0,001216;;;
27.03.90;0,008969;0,019126;0,013672;-0,005128;0,008798;0,013889;0,007774;0,011462;;;
28.03.90;-0,013333;-0,008043;0;-0,005155;-0,011628;0,022831;0,001339;0,001464;;;
29.03.90;-0,004505;-0,002703;-0,00578;-0,015544;-0,014706;-0,008929;-0,00304;-0,003538;;;
30.03.90;0,002262;0;-0,003876;-0,015789;-0,002985;-0,009009;-0,001393;-0,002494;;;
02.04.90;0,006772;0,00271;-0,003891;-0,016043;-0,002994;-0,018182;-0,004029;-0,003648;;;
03.04.90;0,040359;0,018919;0,015625;0,032609;0,015015;0,037037;0,012721;0,014585;;;
04.04.90;0,008621;-0,013263;-0,011538;0;0,005917;0,004464;-0,005989;-0,007421;;;
05.04.90;-0,021368;-0,005376;0,001946;-0,031579;-0,011765;0,013333;-0,000996;-0,001055;;;
06.04.90;-0,002183;-0,002703;0;-0,005435;-0,014881;0,008772;-0,002248;-0,001908;;;
09.04.90;0,002188;-0,00271;0,001942;0,016393;0,003021;-0,008696;0,002046;0,003793;;;
10.04.90;0,030568;0;-0,001938;0;0,018072;0,02193;0,001632;0,002051;;;
11.04.90;0,025424;-0,008152;0,007767;0,005376;0,011834;0,017167;-0,000101;-0,000439;;;
12.04.90;-0,002066;0,00274;0,017341;0,048128;-0,005848;-0,004219;0,00681;0,007078;;;
16.04.90;0,006211;-0,002732;0,011364;-0,015306;0;0,025424;0,000896;0,001162;;;
17.04.90;0,020576;0,00274;0,001873;0,005181;-0,002941;0,024793;-0,000705;-0,000174;;;
18.04.90;-0,022177;-0,005464;-0,005607;-0,005155;-0,032448;-0,03629;-0,010032;-0,011489;;;
19.04.90;-0,018557;0,010989;-0,011278;-0,010363;-0,018293;-0,004184;-0,007279;-0,007719;;;
20.04.90;-0,004202;0,008152;-0,003802;-0,026178;-0,006211;-0,042017;-0,008565;-0,008785;;;
23.04.90;-0,004219;-0,013477;-0,015267;0,021505;-0,0125;0;-0,010963;-0,012145;;;
24.04.90;-0,016949;-0,010929;-0,001938;0,010526;-0,012658;-0,017544;-0,002231;-0,002084;;;
25.04.90;0;0;0;0;0,019231;0,022321;0,004541;0,005055;;;
26.04.90;-0,010776;0,008287;0,003883;-0,010417;0,006289;0,0131;0,002074;0,00268;;;
27.04.90;-0,019608;-0,013699;-0,011605;-0,005263;-0,015625;-0,012931;-0,010253;-0,011444;;;
30.04.90;0,031111;0,005556;0,001957;-0,010582;0,003175;0,004367;0,004452;0,005135;;;
01.05.90;-0,015086;-0,002762;0,005859;0,016043;0,003165;0,011478;0,004264;0,004383;;;
02.05.90;0,019694;0,01662;0,005825;-0,010526;0,015773;0,038793;0,005667;0,006712;;;
03.05.90;0,012876;0,010899;0;0,010638;0,018634;-0,024896;0,003563;0,003259;;;
04.05.90;0,04661;0,002695;0,009653;0,047368;0,030488;0,012766;0,007832;0,008404;;;
07.05.90;0,036437;0;0,005736;0,020101;0,02071;0,004202;0,005966;0,006324;;;
08.05.90;-0,019531;-0,003226;0,009506;-0,004926;-0,002899;-0,008368;0,003826;0,004346;;;
09.05.90;0;0,005464;0,00565;-0,019802;0,005814;0;0,001409;0,002485;;;
10.05.90;0,027888;0,013587;0,007491;0,010101;0,00578;0,004219;0,004172;0,0028;;;
11.05.90;0,015504;0,02681;0,013011;0,03;0,034483;0,02521;0,019775;0,023792;;;
14.05.90;0,003817;0,002611;0,005505;0,014563;-0,011111;0,02459;0,007841;0,007813;;;
15.05.90;-0,015209;-0,010417;-0,00365;0,028708;0;0,02;-0,000891;-0,001325;;;
16.05.90;0;0,007895;-0,001832;-0,013953;0,005618;0;-0,000747;-0,00079;;;
17.05.90;0;0;-0,001835;0;0,002793;0,007843;0,002435;0,001328;;;
18.05.90;0,054054;-0,002611;0,001838;0,009434;0,005571;-0,007782;0,001087;0,00048;;;
21.05.90;0,029304;0,002618;0,00367;0,004673;0,00831;0,011765;0,009446;0,009474;;;
22.05.90;0,017794;0;0,001828;0,004651;0,010989;0,007752;0,001591;0,001201;;;
23.05.90;0,061189;-0,010444;-0,001825;0;0,043478;-0,003846;0,002005;0,002399;;;
24.05.90;0,008237;-0,005277;0,014625;0;0,005208;0,007722;-0,000576;-0,002449;;;
25.05.90;-0,029412;-0,013263;-0,014414;0,00463;-0,015544;-0,019157;-0,00883;-0,010686;;;
29.05.90;0,013468;0,024194;0,02011;0,009217;0,023684;0,03125;0,013671;0,017119;;;
30.05.90;0,003322;0,002625;-0,005376;0;-0,015424;-0,011364;0,001209;0,000582;;;
31.05.90;-0,033113;0,005236;-0,000432;0;0,007833;0;0,001151;0,001025;;;
01.06.90;0,02911;-0,005208;0,009074;0,022831;-0,015544;0,007663;0,005492;0,005343;;;
04.06.90;0,024958;0,010471;0,01259;0,013393;0,021053;0,011407;0,010774;0,011675;;;
05.06.90;-0,047078;0;-0,007105;0,013216;-0,028351;0,033835;-0,00153;-0,002069;;;
06.06.90;-0,005111;-0,007772;-0,007156;-0,004348;0,013263;-0,025455;-0,003031;-0,004582;;;
07.06.90;-0,013699;-0,005222;-0,001802;-0,004367;-0,018325;-0,014925;-0,004297;-0,004959;;;
08.06.90;0,020833;-0,013123;-0,01083;-0,004386;-0,008;-0,030303;-0,010236;-0,012226;;;
11.06.90;0,018707;0,018617;0,005474;-0,002467;0,021505;0,023438;0,006587;0,00814;;;
12.06.90;0,013356;0,020888;0,019964;-0,004525;0,007895;0,01145;0,010833;0,012775;;;
13.06.90;0,008237;-0,015345;0;-0,018182;0,002611;0,003774;-0,00208;-0,003686;;;
14.06.90;-0,013072;0;-0,008897;-0,018519;0;0,018797;-0,004824;-0,005481;;;
15.06.90;0,006623;-0,005195;0,007181;-0,009434;0,005208;-0,00738;-0,000685;0,000028;;;
18.06.90;-0,014803;-0,007833;-0,01426;-0,009524;-0,025907;-0,018587;-0,014123;-0,016616;;;
19.06.90;0,001669;-0,002632;0,01085;0,014423;0;-0,003788;0,003006;0,004455;;;
20.06.90;0,035;0,010554;0,003578;-0,028436;0,010638;0,015209;0,001105;0,001757;;;
21.06.90;-0,008052;0,015666;0;0,004878;-0,007895;0,007491;0,002671;0,003815;;;
22.06.90;-0,016234;-0,015424;-0,010695;-0,024272;-0,023873;0,01487;-0,010012;-0,013982;;;
25.06.90;-0,016502;-0,013055;0;-0,024876;-0,01087;-0,003663;-0,007954;-0,008778;;;
26.06.90;0,003356;-0,005291;-0,005405;0,010204;0;-0,014706;-0,000954;-0,00071;;;
27.06.90;0,020067;0,021277;0,001812;0,030303;0,008242;0,026119;0,006607;0,008749;;;
28.06.90;0,003279;0,005208;0,001808;0,009804;0,00545;-0,003636;0,006728;0,007011;;;
