,Holding Period Returns,,,,,,,
DATE,MSFT,XOM,GE,JPM,INTC,C,VWRETD,SPRTRN
02.01.90,0.020115,0,0.034884,0.004184,0.043478,0.030702,0.014433,0.017799
03.01.90,0.005634,-0.01,-0.00187,0.033333,-0.02778,0.012766,0.000022,-0.00259
04.01.90,0.029412,-0.0101,-0.00563,0.004032,0.021429,-0.01261,-0.00649,-0.00861
05.01.90,-0.02449,-0.0051,-0.00943,0.004016,-0.00699,0.008511,-0.00763,-0.00976
08.01.90,0.015342,0.015385,0.005714,0,0.014085,0.008439,0.003075,0.004514
09.01.90,-0.00275,-0.0202,-0.02083,-0.032,0.027778,-0.01255,-0.00927,-0.01179
10.01.90,-0.02755,0.005155,0.001934,-0.00413,-0.02703,-0.00848,-0.00684,-0.00661
11.01.90,-0.01983,0.005128,0,-0.01245,0,0.008547,0.002619,0.003513
12.01.90,-0.00434,-0.02551,-0.0251,-0.0084,-0.02083,-0.05085,-0.02255,-0.02468
15.01.90,0,0.013089,-0.00792,0,0.007092,-0.00446,-0.0089,-0.00862
16.01.90,0.030479,-0.00517,0.00998,-0.00424,0.056338,-0.00448,0.008723,0.011128
17.01.90,-0.01409,-0.01558,-0.00395,-0.00426,0.003333,0.027027,-0.00695,-0.00983
18.01.90,0.085714,0.013193,0.009921,-0.00855,-0.00997,0.013158,0.000333,0.002341
19.01.90,-0.00921,0.013021,0.019646,-0.00431,0.016779,0,0.00315,0.002839
22.01.90,-0.03586,-0.03342,-0.03083,-0.0303,-0.0297,-0.04329,-0.02222,-0.02586
23.01.90,-0.01102,0.00266,-0.00199,-0.02679,0,-0.03167,-8.10E-05,0.003723
24.01.90,0.011142,-0.00265,0.007968,0.004587,0.034014,0.009346,-0.00478,-0.00407
25.01.90,0,-0.02128,-0.01976,-0.00913,0.006579,-0.03704,-0.00985,-0.01266
26.01.90,0,0.016304,0.008065,-0.02304,0.013072,0.009615,-0.00341,-0.00086
29.01.90,0.008264,0.005348,-0.012,-0.02359,-0.0129,-0.00476,-0.00298,-0.00184
30.01.90,-0.00273,0,0,-0.02416,-0.01307,-0.03522,-0.00859,-0.00683
31.01.90,0.013699,0,0.008097,0.019802,0.046358,0.039801,0.016311,0.018887
01.02.90,0.013514,0,-0.00803,0.009709,-0.01266,0.004785,0.001098,-0.00088
02.02.90,0,0.018617,0,0.004808,0,0.028571,0.007203,0.006478
05.02.90,0.005333,0.002611,0,0,0.025641,-0.00463,0.004264,0.00281
06.02.90,-0.00265,-0.00313,0.004049,-0.00957,0,-0.03256,-0.0048,-0.0066
07.02.90,-0.00798,0.015873,0.010081,0.004831,0.00625,0.038462,0.010518,0.012407
08.02.90,0.010724,0.002604,0.005988,0,0.006211,-0.00926,-0.00056,-0.00237
09.02.90,0.002653,0.002597,0.003968,-0.00481,-0.00617,0.004673,0.002516,0.001982
12.02.90,0.002646,-0.02332,-0.01581,0.004831,-0.02485,-0.02326,-0.00874,-0.01061
13.02.90,0,0.002653,-0.00201,-0.00962,0.012739,-0.01429,0.001495,0.002848
14.02.90,0.002639,-0.00529,0.002012,0.024272,0.006289,0,0.00207,0.002991
15.02.90,0.021053,0.031915,0.006024,0.023697,0.00625,0.024155,0.007678,0.008674
16.02.90,0.010309,-0.01031,-0.00998,0.00463,-0.00621,0.009434,-0.00437,-0.00648
20.02.90,0.022959,-0.01302,-0.01815,-0.02765,-0.03125,-0.02804,-0.01281,-0.01422
21.02.90,-0.04115,0.005277,-0.00616,-0.00474,0.003226,0,-0.00196,-0.00098
22.02.90,0.002601,-0.0105,0.004132,-0.01429,-0.00322,-0.00962,-0.00319,-0.00601
23.02.90,0.011673,0,-0.00412,-0.01449,-0.00645,0,-0.00544,-0.00476
26.02.90,0.017949,0.023873,0.012397,0.019608,0.025974,0.038835,0.009421,0.013944
27.02.90,-0.01259,0.002591,0.012245,-0.01923,0,-0.00467,0.005183,0.004838
28.02.90,0.007653,-0.02842,0.003548,0.004902,0.018987,0.00939,0.0056,0.004936
01.03.90,0.012658,-0.01064,-0.00202,-0.00488,0.009317,0,0.00296,0.002561
02.03.90,0.0375,0.005376,0.01217,0.019608,0.003077,0,0.008011,0.008415
05.03.90,0.014458,-0.0107,-0.01002,0.014423,-0.02147,-0.00465,-0.00323,-0.00536
06.03.90,-0.00713,0.018919,0.010121,0.009479,0.018809,0,0.010611,0.012555
07.03.90,-0.01675,-0.01326,0.004008,0.004695,-0.01539,-0.00935,-0.00165,-0.0029
08.03.90,0.034063,0.005376,0.005988,0.028037,0.003125,0.028302,0.008561,0.009853
09.03.90,0.002353,-0.00802,-0.00595,-0.02073,0.009346,0.004587,-0.00473,-0.00688
12.03.90,0.016432,0.002695,-0.00399,0.02381,-0.00926,-0.00457,0.001731,0.00219
13.03.90,-0.01848,-0.01882,-0.00601,0,-0.00935,-0.00459,-0.00639,-0.00788
14.03.90,0.009412,0.019178,0.016129,-0.0093,-0.01258,0.036866,0.00262,0.002589
15.03.90,0.034965,0.008065,0.003968,-0.01878,0.022293,0.008889,0.002671,0.003562
16.03.90,0.027027,0.013333,0.011858,-0.01914,0.05296,0.013216,0.008938,0.011359
19.03.90,0.02193,0,0.013672,0.009756,0.029586,-0.0087,0.00392,0.004738
20.03.90,-0.03004,-0.01579,-0.00771,-0.02899,-0.01149,-0.02632,-0.00508,-0.00571
21.03.90,0.002212,-0.0107,-0.00388,-0.0199,-0.01454,0,-0.00407,-0.00536
22.03.90,-0.01766,-0.00541,-0.0117,-0.02031,-0.00885,-0.02703,-0.01157,-0.01192
23.03.90,-0.00899,0.002717,0.005917,0.041451,0.011905,0.00463,0.00446,0.004558
26.03.90,0.011338,-0.00813,0.003922,-0.02985,0.002941,-0.00461,0.00173,0.001216
27.03.90,0.008969,0.019126,0.013672,-0.00513,0.008798,0.013889,0.007774,0.011462
28.03.90,-0.01333,-0.00804,0,-0.00516,-0.01163,0.022831,0.001339,0.001464
29.03.90,-0.00451,-0.0027,-0.00578,-0.01554,-0.01471,-0.00893,-0.00304,-0.00354
30.03.90,0.002262,0,-0.00388,-0.01579,-0.00299,-0.00901,-0.00139,-0.00249
02.04.90,0.006772,0.00271,-0.00389,-0.01604,-0.00299,-0.01818,-0.00403,-0.00365
03.04.90,0.040359,0.018919,0.015625,0.032609,0.015015,0.037037,0.012721,0.014585
04.04.90,0.008621,-0.01326,-0.01154,0,0.005917,0.004464,-0.00599,-0.00742
05.04.90,-0.02137,-0.00538,0.001946,-0.03158,-0.01177,0.013333,-0.001,-0.00106
06.04.90,-0.00218,-0.0027,0,-0.00544,-0.01488,0.008772,-0.00225,-0.00191
09.04.90,0.002188,-0.00271,0.001942,0.016393,0.003021,-0.0087,0.002046,0.003793
10.04.90,0.030568,0,-0.00194,0,0.018072,0.02193,0.001632,0.002051
11.04.90,0.025424,-0.00815,0.007767,0.005376,0.011834,0.017167,-0.0001,-0.00044
12.04.90,-0.00207,0.00274,0.017341,0.048128,-0.00585,-0.00422,0.00681,0.007078
16.04.90,0.006211,-0.00273,0.011364,-0.01531,0,0.025424,0.000896,0.001162
17.04.90,0.020576,0.00274,0.001873,0.005181,-0.00294,0.024793,-0.00071,-0.00017
18.04.90,-0.02218,-0.00546,-0.00561,-0.00516,-0.03245,-0.03629,-0.01003,-0.01149
19.04.90,-0.01856,0.010989,-0.01128,-0.01036,-0.01829,-0.00418,-0.00728,-0.00772
20.04.90,-0.0042,0.008152,-0.0038,-0.02618,-0.00621,-0.04202,-0.00857,-0.00879
23.04.90,-0.00422,-0.01348,-0.01527,0.021505,-0.0125,0,-0.01096,-0.01215
24.04.90,-0.01695,-0.01093,-0.00194,0.010526,-0.01266,-0.01754,-0.00223,-0.00208
25.04.90,0,0,0,0,0.019231,0.022321,0.004541,0.005055
26.04.90,-0.01078,0.008287,0.003883,-0.01042,0.006289,0.0131,0.002074,0.00268
27.04.90,-0.01961,-0.0137,-0.01161,-0.00526,-0.01563,-0.01293,-0.01025,-0.01144
30.04.90,0.031111,0.005556,0.001957,-0.01058,0.003175,0.004367,0.004452,0.005135
01.05.90,-0.01509,-0.00276,0.005859,0.016043,0.003165,0.011478,0.004264,0.004383
02.05.90,0.019694,0.01662,0.005825,-0.01053,0.015773,0.038793,0.005667,0.006712
03.05.90,0.012876,0.010899,0,0.010638,0.018634,-0.0249,0.003563,0.003259
04.05.90,0.04661,0.002695,0.009653,0.047368,0.030488,0.012766,0.007832,0.008404
07.05.90,0.036437,0,0.005736,0.020101,0.02071,0.004202,0.005966,0.006324
08.05.90,-0.01953,-0.00323,0.009506,-0.00493,-0.0029,-0.00837,0.003826,0.004346
09.05.90,0,0.005464,0.00565,-0.0198,0.005814,0,0.001409,0.002485
10.05.90,0.027888,0.013587,0.007491,0.010101,0.00578,0.004219,0.004172,0.0028
11.05.90,0.015504,0.02681,0.013011,0.03,0.034483,0.02521,0.019775,0.023792
14.05.90,0.003817,0.002611,0.005505,0.014563,-0.01111,0.02459,0.007841,0.007813
15.05.90,-0.01521,-0.01042,-0.00365,0.028708,0,0.02,-0.00089,-0.00133
16.05.90,0,0.007895,-0.00183,-0.01395,0.005618,0,-0.00075,-0.00079
17.05.90,0,0,-0.00184,0,0.002793,0.007843,0.002435,0.001328
18.05.90,0.054054,-0.00261,0.001838,0.009434,0.005571,-0.00778,0.001087,0.00048
21.05.90,0.029304,0.002618,0.00367,0.004673,0.00831,0.011765,0.009446,0.009474
22.05.90,0.017794,0,0.001828,0.004651,0.010989,0.007752,0.001591,0.001201
23.05.90,0.061189,-0.01044,-0.00183,0,0.043478,-0.00385,0.002005,0.002399
24.05.90,0.008237,-0.00528,0.014625,0,0.005208,0.007722,-0.00058,-0.00245
25.05.90,-0.02941,-0.01326,-0.01441,0.00463,-0.01554,-0.01916,-0.00883,-0.01069
29.05.90,0.013468,0.024194,0.02011,0.009217,0.023684,0.03125,0.013671,0.017119
30.05.90,0.003322,0.002625,-0.00538,0,-0.01542,-0.01136,0.001209,0.000582
31.05.90,-0.03311,0.005236,-0.00043,0,0.007833,0,0.001151,0.001025
01.06.90,0.02911,-0.00521,0.009074,0.022831,-0.01554,0.007663,0.005492,0.005343
04.06.90,0.024958,0.010471,0.01259,0.013393,0.021053,0.011407,0.010774,0.011675
05.06.90,-0.04708,0,-0.00711,0.013216,-0.02835,0.033835,-0.00153,-0.00207
06.06.90,-0.00511,-0.00777,-0.00716,-0.00435,0.013263,-0.02546,-0.00303,-0.00458
07.06.90,-0.0137,-0.00522,-0.0018,-0.00437,-0.01833,-0.01493,-0.0043,-0.00496
08.06.90,0.020833,-0.01312,-0.01083,-0.00439,-0.008,-0.0303,-0.01024,-0.01223
11.06.90,0.018707,0.018617,0.005474,-0.00247,0.021505,0.023438,0.006587,0.00814
12.06.90,0.013356,0.020888,0.019964,-0.00453,0.007895,0.01145,0.010833,0.012775
13.06.90,0.008237,-0.01535,0,-0.01818,0.002611,0.003774,-0.00208,-0.00369
14.06.90,-0.01307,0,-0.0089,-0.01852,0,0.018797,-0.00482,-0.00548
15.06.90,0.006623,-0.0052,0.007181,-0.00943,0.005208,-0.00738,-0.00069,0.000028
18.06.90,-0.0148,-0.00783,-0.01426,-0.00952,-0.02591,-0.01859,-0.01412,-0.01662
19.06.90,0.001669,-0.00263,0.01085,0.014423,0,-0.00379,0.003006,0.004455
20.06.90,0.035,0.010554,0.003578,-0.02844,0.010638,0.015209,0.001105,0.001757
21.06.90,-0.00805,0.015666,0,0.004878,-0.0079,0.007491,0.002671,0.003815
22.06.90,-0.01623,-0.01542,-0.0107,-0.02427,-0.02387,0.01487,-0.01001,-0.01398
25.06.90,-0.0165,-0.01306,0,-0.02488,-0.01087,-0.00366,-0.00795,-0.00878
26.06.90,0.003356,-0.00529,-0.00541,0.010204,0,-0.01471,-0.00095,-0.00071
27.06.90,0.020067,0.021277,0.001812,0.030303,0.008242,0.026119,0.006607,0.008749
28.06.90,0.003279,0.005208,0.001808,0.009804,0.00545,-0.00364,0.006728,0.007011
29.06.90,-0.00654,-0.00777,0,-0.00971,0.01897,-0.00365,0.002203,0.001091
02.07.90,-0.02961,-0.00261,0.018051,0,0.010638,0.010989,0.003126,0.004246
03.07.90,-0.02373,-0.00785,0.008865,0,0,0.021739,0.001883,0.001724
05.07.90,0.003472,-0.01319,-0.0123,0.004902,-0.01053,-0.00709,-0.00979,-0.01244
06.07.90,0.013841,0.02139,0.005338,-0.00488,-0.00532,0.007143,0.006186,0.007704
09.07.90,0.013652,-0.00785,0.010619,0,0,-0.01064,0.002204,0.003069
10.07.90,-0.00673,-0.01319,-0.00876,-0.02941,-0.0107,0,-0.00609,-0.00843
11.07.90,0.023729,0.024064,0.019435,0.005051,0.037838,0.021505,0.01054,0.013296
12.07.90,0.02649,0.028721,0.017331,-0.0201,0.015625,0.021053,0.010527,0.011655
