,Prices,,,,,,
DATE,MSFT,XOM,GE,JPM,INTC,C,SPINDX
02.01.90,88.75,50,66.75,30,36,29.38,359.69
03.01.90,89.25,49.5,66.63,31,35,29.75,358.76
04.01.90,91.88,49,66.25,31.13,35.75,29.38,355.67
05.01.90,89.63,48.75,65.63,31.25,35.5,29.63,352.2
08.01.90,91,49.5,66,31.25,36,29.88,353.79
09.01.90,90.75,48.5,64.63,30.25,37,29.5,349.62
10.01.90,88.25,48.75,64.75,30.13,36,29.25,347.31
11.01.90,86.5,49,64.75,29.75,36,29.5,348.53
12.01.90,86.13,47.75,63.13,29.5,35.25,28,339.93
15.01.90,86.13,48.38,62.63,29.5,35.5,27.88,337
16.01.90,88.75,48.13,63.25,29.38,37.5,27.75,340.75
17.01.90,87.5,47.38,63,29.25,37.63,28.5,337.4
18.01.90,95,48,63.63,29,37.25,28.88,338.19
19.01.90,94.13,48.63,64.88,28.88,37.88,28.88,339.15
22.01.90,90.75,47,62.88,28,36.75,27.63,330.38
23.01.90,89.75,47.13,62.75,27.25,36.75,26.75,331.61
24.01.90,90.75,47,63.25,27.38,38,27,330.26
25.01.90,90.75,46,62,27.13,38.25,26,326.08
26.01.90,90.75,46.75,62.5,26.5,38.75,26.25,325.8
29.01.90,91.5,47,61.75,25.88,38.25,26.13,325.2
30.01.90,91.25,47,61.75,25.25,37.75,25.13,322.98
31.01.90,92.5,47,62.25,25.75,39.5,26.13,329.08
01.02.90,93.75,47,61.75,26,39,26.25,328.79
02.02.90,93.75,47.88,61.75,26.13,39,27,330.92
05.02.90,94.25,48,61.75,26.13,40,26.88,331.85
06.02.90,94,47.25,62,25.88,40,26,329.66
07.02.90,93.25,48,62.63,26,40.25,27,333.75
08.02.90,94.25,48.13,63,26,40.5,26.75,332.96
09.02.90,94.5,48.25,63.25,25.88,40.25,26.88,333.62
12.02.90,94.75,47.13,62.25,26,39.25,26.25,330.08
13.02.90,94.75,47.25,62.13,25.75,39.75,25.88,331.02
14.02.90,95,47,62.25,26.38,40,25.88,332.01
15.02.90,97,48.5,62.63,27,40.25,26.5,334.89
16.02.90,98,48,62,27.13,40,26.75,332.72
20.02.90,100.25,47.38,60.88,26.38,38.75,26,327.99
21.02.90,96.13,47.63,60.5,26.25,38.88,26,327.67
22.02.90,96.38,47.13,60.75,25.88,38.75,25.75,325.7
23.02.90,97.5,47.13,60.5,25.5,38.5,25.75,324.15
26.02.90,99.25,48.25,61.25,26,39.5,26.75,328.67
27.02.90,98,48.38,62,25.5,39.5,26.63,330.26
28.02.90,98.75,47,61.75,25.63,40.25,26.88,331.89
01.03.90,100,46.5,61.63,25.5,40.63,26.88,332.74
02.03.90,103.75,46.75,62.38,26,40.75,26.88,335.54
05.03.90,105.25,46.25,61.75,26.38,39.88,26.75,333.74
06.03.90,104.5,47.13,62.38,26.63,40.63,26.75,337.93
07.03.90,102.75,46.5,62.63,26.75,40,26.5,336.95
08.03.90,106.25,46.75,63,27.5,40.13,27.25,340.27
09.03.90,106.5,46.38,62.63,26.25,40.5,27.38,337.93
12.03.90,108.25,46.5,62.38,26.88,40.13,27.25,338.67
13.03.90,106.25,45.63,62,26.88,39.75,27.13,336
14.03.90,107.25,46.5,63,26.63,39.25,28.13,336.87
15.03.90,111,46.88,63.25,26.13,40.13,28.38,338.07
16.03.90,114,47.5,64,25.63,42.25,28.75,341.91
19.03.90,116.5,47.5,64.88,25.88,43.5,28.5,343.53
20.03.90,113,46.75,64.38,25.13,43,27.75,341.57
21.03.90,113.25,46.25,64.13,24.63,42.38,27.75,339.74
22.03.90,111.25,46,63.38,24.13,42,27,335.69
23.03.90,110.25,46.13,63.75,25.13,42.5,27.13,337.22
26.03.90,111.5,45.75,64,24.38,42.63,27,337.63
27.03.90,112.5,46.63,64.88,24.25,43,27.38,341.5
28.03.90,111,46.25,64.88,24.13,42.5,28,342
29.03.90,110.5,46.13,64.5,23.75,41.88,27.75,340.79
30.03.90,110.75,46.13,64.25,23.38,41.75,27.5,339.94
